Ref	Priority	Severity
99132	High	L1
99133	Medium	L1
99134	Low	L1
99135	Medium	L1
99136	Low	L1
99137	High	L1
99138	Medium	L1
99139	High	L1
99140	High	L1
99141	Low	L2
99142	Medium	L1
99143	Low	L2
99144	Medium	L5
99145	Low	L1
99146	Low	L1
99147	Low	L2
99148	Medium	L2
99149	High	L2
99150	Low	L1
99151	Low	L1
99152	Low	L2
99153	Low	L2
99154	Medium	L2
99155	Low	L2
99156	Low	L1
99157	High	L2
99158	Low	L1
99159	High	L2
99160	Low	L2
99161	Low	L2
99162	Low	L5
99163	High	L2
99164	Medium	L1
99165	Medium	L1
99166	Medium	L1
99167	Medium	L1
99168	Low	L1
99169	Low	L1
99170	Low	L1
99171	Medium	L1
99172	Low	L2
99173	High	L1
99174	Low	L2
99175	Medium	L1
99176	Medium	L2
99177	High	L1
99178	Low	L2
99179	Low	L2
99180	High	L1
99181	Low	L2
99182	Low	L2
99183	Low	L2
99184	Low	L2
99185	Low	L2
99186	Medium	L5
99187	Low	L1
99188	Low	L1
99189	Low	L1
99190	Low	L1
99191	High	L2
99192	Low	L1
99193	High	L1
99194	Low	L1
99195	Low	L2
99196	Low	L2
99197	Medium	L1
99198	Medium	L1
99199	Low	L1
99200	High	L1
99201	Low	L5
99202	Medium	L2
99203	Medium	L1
99204	Medium	L2
99205	Low	L1
99206	Medium	L1
99207	High	L1
99208	Low	L2
99209	Medium	L5
99210	Low	L1
99211	Medium	L1
99212	Low	L1
99213	Medium	L1
99214	Low	L2
99215	High	L5
99216	Medium	L3
99217	Low	L1
99220	Medium	L1
99221	Medium	L2
99222	Medium	L5
99223	Medium	L1
99224	Low	L1
99225	Medium	L1
99226	High	L1
99227	High	L1
99228	High	L1
99229	Low	L1
99230	High	L2
99231	High	L5
99232	Medium	L1
99233	Medium	L1
99234	Medium	L1
99235	Low	L2
99236	Medium	L2
99237	Low	L1
99238	Medium	L1
99239	Medium	L1
99240	Low	L1
99241	Low	L1
99242	High	L1
99243	Medium	L3
99244	Low	L5
99245	Medium	L2
99246	High	L1
99247	Low	L1
99248	Medium	L1
99249	High	L1
99250	Medium	L2
99251	Medium	L2
99252	Low	L2
99253	High	L5
99254	Low	L5
99255	High	L1
99256	Medium	L2
99257	Medium	L1
99258	Low	L5
99259	Low	L1
99260	Low	L1
99261	Low	L1
99262	Medium	L1
99263	High	L1
99264	Low	L2
99265	Low	L1
99266	Low	L1
99267	Low	L1
99268	Low	L1
99269	Low	L1
99270	Low	L1
99271	Low	L1
99272	Low	L1
99273	Medium	L1
99274	Low	L1
99275	High	L1
99276	High	L1
99277	Low	L1
99283	Medium	L1
99284	Low	L1
99285	Low	L1
99286	Low	L1
99287	High	L1
99288	Medium	L2
99292	High	L1
99293	Medium	L1
99294	High	L1
99295	Medium	L5
99298	Low	L5
99301	Medium	L1
99302	High	L1
99303	High	L1
99304	Medium	L1
99305	Medium	L1
99306	Medium	L1
99307	Low	L2
99308	High	L1
99309	Medium	L1
99310	Low	L1
99311	Medium	L5
99312	Low	L5
99313	Medium	L1
99316	High	L2
99317	Low	L2
99318	High	L5
99319	Medium	L2
99320	Low	L2
99321	Low	L1
99322	Medium	L1
99323	High	L1
99324	Medium	L1
99325	Low	L1
99326	Medium	L5
99327	Low	L1
99328	High	L1
99329	Low	L3
99330	Medium	L1
99331	High	L2
99332	Medium	L1
99333	Low	L2
99334	High	L5
99335	Low	L1
99336	High	L1
99337	Low	L1
99338	Medium	L5
99339	Low	L1
99340	Low	L5
99341	High	L1
99342	Low	L1
99343	High	L1
99344	Low	L2
99345	Low	L1
99346	Low	L1
99347	Medium	L1
99348	Low	L2
99349	Low	L1
99350	Medium	L1
99351	Low	L1
99352	Low	L1
99353	Low	L1
99354	Low	L1
99355	Low	L1
99356	High	L1
99357	High	L1
99358	Medium	L1
99359	Low	L1
99360	Low	L1
99361	Low	L2
99362	Low	L2
99363	Low	L2
99364	Low	L2
99365	Medium	L1
99366	Medium	L1
99367	Medium	L1
99368	Medium	L3
